Period,Country,Observation,Marker
2002-03,England,3152.44,
2003-04,England,3298.97,
2004-05,England,3365.29,
2005-06,England,3347.73,
2006-07,England,3279.15,
2007-08,England,3187.28,
2008-09,England,3102.77,
2009-10,England,3062.08,
2010-11,England,3087.77,
2011-12,England,3041.4,
2012-13,England,3001.25,
2013-14,England,2921.77,
2014-15,England,2919.82,
2015-16,England,2897.76,
2016-17,England,2898.91,
2017-18,England,2914.25,
2018-19,England,2939.23,
2019-20,England,2896.68,
2020-21,England,2850.59,
2021-22,England,2785.35,
2002-03,Scotland,,not available
2003-04,Scotland,,not available
2004-05,Scotland,,not available
2005-06,Scotland,,not available
2006-07,Scotland,,not available
2007-08,Scotland,,not available
2008-09,Scotland,869.0,
2009-10,Scotland,783.0,
2010-11,Scotland,757.0,
2011-12,Scotland,661.0,
2012-13,Scotland,618.0,
2013-14,Scotland,608.0,
2014-15,Scotland,590.0,
2015-16,Scotland,531.0,
2016-17,Scotland,559.0,
2017-18,Scotland,543.0,
2018-19,Scotland,471.0,
2019-20,Scotland,454.0,
2020-21,Scotland,425.0,
2021-22,Scotland,431.0,
2002-03,Wales,251.0,
2003-04,Wales,236.0,
2004-05,Wales,220.0,
2005-06,Wales,226.0,
2006-07,Wales,229.0,
2007-08,Wales,208.0,
2008-09,Wales,198.0,
2009-10,Wales,196.0,
2010-11,Wales,202.0,
2011-12,Wales,199.0,
2012-13,Wales,185.0,
2013-14,Wales,183.8,
2014-15,Wales,179.5,
2015-16,Wales,180.0,
2016-17,Wales,175.0,
2017-18,Wales,173.0,
2018-19,Wales,169.5,
2019-20,Wales,167.95,
2020-21,Wales,163.62,
2021-22,Wales,157.41,
2002-03,Northern Ireland,,not available
2003-04,Northern Ireland,,not available
2004-05,Northern Ireland,,not available
2005-06,Northern Ireland,177.77,
2006-07,Northern Ireland,168.06,
2007-08,Northern Ireland,156.52,
2008-09,Northern Ireland,180.9,
2009-10,Northern Ireland,186.9,
2010-11,Northern Ireland,177.0,
2011-12,Northern Ireland,168.23,
2012-13,Northern Ireland,161.75,
2013-14,Northern Ireland,167.0,
2014-15,Northern Ireland,166.0,
2015-16,Northern Ireland,162.0,
2016-17,Northern Ireland,163.44,
2017-18,Northern Ireland,165.0,
2018-19,Northern Ireland,160.0,
2019-20,Northern Ireland,161.0,
2020-21,Northern Ireland,157.71,
2021-22,Northern Ireland,156.0,
