Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description,Original Concept URI
1980,1980,1980,,0,,http://reference.data.gov.uk/id/year/1980
1981,1981,1981,,1,,http://reference.data.gov.uk/id/year/1981
1982,1982,1982,,2,,http://reference.data.gov.uk/id/year/1982
1983,1983,1983,,3,,http://reference.data.gov.uk/id/year/1983
1984,1984,1984,,4,,http://reference.data.gov.uk/id/year/1984
1985,1985,1985,,5,,http://reference.data.gov.uk/id/year/1985
1986,1986,1986,,6,,http://reference.data.gov.uk/id/year/1986
1987,1987,1987,,7,,http://reference.data.gov.uk/id/year/1987
1988,1988,1988,,8,,http://reference.data.gov.uk/id/year/1988
1989,1989,1989,,9,,http://reference.data.gov.uk/id/year/1989
1990,1990,1990,,10,,http://reference.data.gov.uk/id/year/1990
1991,1991,1991,,11,,http://reference.data.gov.uk/id/year/1991
1992,1992,1992,,12,,http://reference.data.gov.uk/id/year/1992
1993,1993,1993,,13,,http://reference.data.gov.uk/id/year/1993
1994,1994,1994,,14,,http://reference.data.gov.uk/id/year/1994
1995,1995,1995,,15,,http://reference.data.gov.uk/id/year/1995
1996,1996,1996,,16,,http://reference.data.gov.uk/id/year/1996
1997,1997,1997,,17,,http://reference.data.gov.uk/id/year/1997
1998,1998,1998,,18,,http://reference.data.gov.uk/id/year/1998
1999,1999,1999,,19,,http://reference.data.gov.uk/id/year/1999
2000,2000,2000,,20,,http://reference.data.gov.uk/id/year/2000
2001,2001,2001,,21,,http://reference.data.gov.uk/id/year/2001
2002,2002,2002,,22,,http://reference.data.gov.uk/id/year/2002
2003,2003,2003,,23,,http://reference.data.gov.uk/id/year/2003
2004,2004,2004,,24,,http://reference.data.gov.uk/id/year/2004
2005,2005,2005,,25,,http://reference.data.gov.uk/id/year/2005
2006,2006,2006,,26,,http://reference.data.gov.uk/id/year/2006
2007,2007,2007,,27,,http://reference.data.gov.uk/id/year/2007
2008,2008,2008,,28,,http://reference.data.gov.uk/id/year/2008
2009,2009,2009,,29,,http://reference.data.gov.uk/id/year/2009
2010,2010,2010,,30,,http://reference.data.gov.uk/id/year/2010
2011,2011,2011,,31,,http://reference.data.gov.uk/id/year/2011
2012,2012,2012,,32,,http://reference.data.gov.uk/id/year/2012
2013,2013,2013,,33,,http://reference.data.gov.uk/id/year/2013
2014,2014,2014,,34,,http://reference.data.gov.uk/id/year/2014
2015,2015,2015,,35,,http://reference.data.gov.uk/id/year/2015
2016,2016,2016,,36,,http://reference.data.gov.uk/id/year/2016
2017,2017,2017,,37,,http://reference.data.gov.uk/id/year/2017
2018,2018,2018,,38,,http://reference.data.gov.uk/id/year/2018
2019,2019,2019,,39,,http://reference.data.gov.uk/id/year/2019
