Period,Country,Observation,Marker
2002-03,england,3152.44,
2003-04,england,3298.97,
2004-05,england,3365.29,
2005-06,england,3347.73,
2006-07,england,3279.15,
2007-08,england,3187.28,
2008-09,england,3102.77,
2009-10,england,3062.08,
2010-11,england,3087.77,
2011-12,england,3041.4,
2012-13,england,3001.25,
2013-14,england,2921.77,
2014-15,england,2919.82,
2015-16,england,2897.76,
2016-17,england,2898.91,
2017-18,england,2914.25,
2018-19,england,2939.23,
2019-20,england,2896.68,
2020-21,england,2850.59,
2021-22,england,2785.35,
2002-03,scotland,,not-available
2003-04,scotland,,not-available
2004-05,scotland,,not-available
2005-06,scotland,,not-available
2006-07,scotland,,not-available
2007-08,scotland,,not-available
2008-09,scotland,869.0,
2009-10,scotland,783.0,
2010-11,scotland,757.0,
2011-12,scotland,661.0,
2012-13,scotland,618.0,
2013-14,scotland,608.0,
2014-15,scotland,590.0,
2015-16,scotland,531.0,
2016-17,scotland,559.0,
2017-18,scotland,543.0,
2018-19,scotland,471.0,
2019-20,scotland,454.0,
2020-21,scotland,425.0,
2021-22,scotland,431.0,
2002-03,wales,251.0,
2003-04,wales,236.0,
2004-05,wales,220.0,
2005-06,wales,226.0,
2006-07,wales,229.0,
2007-08,wales,208.0,
2008-09,wales,198.0,
2009-10,wales,196.0,
2010-11,wales,202.0,
2011-12,wales,199.0,
2012-13,wales,185.0,
2013-14,wales,183.8,
2014-15,wales,179.5,
2015-16,wales,180.0,
2016-17,wales,175.0,
2017-18,wales,173.0,
2018-19,wales,169.5,
2019-20,wales,167.95,
2020-21,wales,163.62,
2021-22,wales,157.41,
2002-03,northern-ireland,,not-available
2003-04,northern-ireland,,not-available
2004-05,northern-ireland,,not-available
2005-06,northern-ireland,177.77,
2006-07,northern-ireland,168.06,
2007-08,northern-ireland,156.52,
2008-09,northern-ireland,180.9,
2009-10,northern-ireland,186.9,
2010-11,northern-ireland,177.0,
2011-12,northern-ireland,168.23,
2012-13,northern-ireland,161.75,
2013-14,northern-ireland,167.0,
2014-15,northern-ireland,166.0,
2015-16,northern-ireland,162.0,
2016-17,northern-ireland,163.44,
2017-18,northern-ireland,165.0,
2018-19,northern-ireland,160.0,
2019-20,northern-ireland,161.0,
2020-21,northern-ireland,157.71,
2021-22,northern-ireland,156.0,
