Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description,Original Concept URI
2006,2006,2006,,0,,http://reference.data.gov.uk/id/year/2006
2007,2007,2007,,1,,http://reference.data.gov.uk/id/year/2007
2008,2008,2008,,2,,http://reference.data.gov.uk/id/year/2008
2009,2009,2009,,3,,http://reference.data.gov.uk/id/year/2009
2010,2010,2010,,4,,http://reference.data.gov.uk/id/year/2010
2011,2011,2011,,5,,http://reference.data.gov.uk/id/year/2011
2012,2012,2012,,6,,http://reference.data.gov.uk/id/year/2012
2013,2013,2013,,7,,http://reference.data.gov.uk/id/year/2013
2014,2014,2014,,8,,http://reference.data.gov.uk/id/year/2014
2015,2015,2015,,9,,http://reference.data.gov.uk/id/year/2015
2016,2016,2016,,10,,http://reference.data.gov.uk/id/year/2016
2017,2017,2017,,11,,http://reference.data.gov.uk/id/year/2017
2018,2018,2018,,12,,http://reference.data.gov.uk/id/year/2018
2019,2019,2019,,13,,http://reference.data.gov.uk/id/year/2019
2020,2020,2020,,14,,http://reference.data.gov.uk/id/year/2020
2021,2021,2021,,15,,http://reference.data.gov.uk/id/year/2021
