Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description,Original Concept URI
1990,1990,1990,,0,,http://reference.data.gov.uk/id/year/1990
1991,1991,1991,,1,,http://reference.data.gov.uk/id/year/1991
1992,1992,1992,,2,,http://reference.data.gov.uk/id/year/1992
1993,1993,1993,,3,,http://reference.data.gov.uk/id/year/1993
1994,1994,1994,,4,,http://reference.data.gov.uk/id/year/1994
1995,1995,1995,,5,,http://reference.data.gov.uk/id/year/1995
1996,1996,1996,,6,,http://reference.data.gov.uk/id/year/1996
1997,1997,1997,,7,,http://reference.data.gov.uk/id/year/1997
1998,1998,1998,,8,,http://reference.data.gov.uk/id/year/1998
1999,1999,1999,,9,,http://reference.data.gov.uk/id/year/1999
2000,2000,2000,,10,,http://reference.data.gov.uk/id/year/2000
2001,2001,2001,,11,,http://reference.data.gov.uk/id/year/2001
2002,2002,2002,,12,,http://reference.data.gov.uk/id/year/2002
2003,2003,2003,,13,,http://reference.data.gov.uk/id/year/2003
2004,2004,2004,,14,,http://reference.data.gov.uk/id/year/2004
2005,2005,2005,,15,,http://reference.data.gov.uk/id/year/2005
2006,2006,2006,,16,,http://reference.data.gov.uk/id/year/2006
2007,2007,2007,,17,,http://reference.data.gov.uk/id/year/2007
2008,2008,2008,,18,,http://reference.data.gov.uk/id/year/2008
2009,2009,2009,,19,,http://reference.data.gov.uk/id/year/2009
2010,2010,2010,,20,,http://reference.data.gov.uk/id/year/2010
2011,2011,2011,,21,,http://reference.data.gov.uk/id/year/2011
2012,2012,2012,,22,,http://reference.data.gov.uk/id/year/2012
2013,2013,2013,,23,,http://reference.data.gov.uk/id/year/2013
2014,2014,2014,,24,,http://reference.data.gov.uk/id/year/2014
2015,2015,2015,,25,,http://reference.data.gov.uk/id/year/2015
2016,2016,2016,,26,,http://reference.data.gov.uk/id/year/2016
2017,2017,2017,,27,,http://reference.data.gov.uk/id/year/2017
2018,2018,2018,,28,,http://reference.data.gov.uk/id/year/2018
2019,2019,2019,,29,,http://reference.data.gov.uk/id/year/2019
