Year,Category,Measure,Observation
1990,Percentage unknown,Proportion of fish stocks exploited with respect to FMSY,49.122807017543856
1991,Percentage unknown,Proportion of fish stocks exploited with respect to FMSY,45.614035087719294
1992,Percentage unknown,Proportion of fish stocks exploited with respect to FMSY,43.85964912280701
1993,Percentage unknown,Proportion of fish stocks exploited with respect to FMSY,36.84210526315789
1994,Percentage unknown,Proportion of fish stocks exploited with respect to FMSY,35.08771929824561
1995,Percentage unknown,Proportion of fish stocks exploited with respect to FMSY,36.84210526315789
1996,Percentage unknown,Proportion of fish stocks exploited with respect to FMSY,33.33333333333333
1997,Percentage unknown,Proportion of fish stocks exploited with respect to FMSY,36.84210526315789
1998,Percentage unknown,Proportion of fish stocks exploited with respect to FMSY,33.33333333333333
1999,Percentage unknown,Proportion of fish stocks exploited with respect to FMSY,31.57894736842105
2000,Percentage unknown,Proportion of fish stocks exploited with respect to FMSY,31.57894736842105
2001,Percentage unknown,Proportion of fish stocks exploited with respect to FMSY,28.07017543859649
2002,Percentage unknown,Proportion of fish stocks exploited with respect to FMSY,28.07017543859649
2003,Percentage unknown,Proportion of fish stocks exploited with respect to FMSY,24.561403508771928
2004,Percentage unknown,Proportion of fish stocks exploited with respect to FMSY,26.31578947368421
2005,Percentage unknown,Proportion of fish stocks exploited with respect to FMSY,24.561403508771928
2006,Percentage unknown,Proportion of fish stocks exploited with respect to FMSY,24.561403508771928
2007,Percentage unknown,Proportion of fish stocks exploited with respect to FMSY,24.561403508771928
2008,Percentage unknown,Proportion of fish stocks exploited with respect to FMSY,24.561403508771928
2009,Percentage unknown,Proportion of fish stocks exploited with respect to FMSY,22.807017543859647
2010,Percentage unknown,Proportion of fish stocks exploited with respect to FMSY,24.561403508771928
2011,Percentage unknown,Proportion of fish stocks exploited with respect to FMSY,24.561403508771928
2012,Percentage unknown,Proportion of fish stocks exploited with respect to FMSY,22.807017543859647
2013,Percentage unknown,Proportion of fish stocks exploited with respect to FMSY,21.052631578947366
2014,Percentage unknown,Proportion of fish stocks exploited with respect to FMSY,21.052631578947366
2015,Percentage unknown,Proportion of fish stocks exploited with respect to FMSY,21.052631578947366
2016,Percentage unknown,Proportion of fish stocks exploited with respect to FMSY,21.052631578947366
2017,Percentage unknown,Proportion of fish stocks exploited with respect to FMSY,21.052631578947366
2018,Percentage unknown,Proportion of fish stocks exploited with respect to FMSY,21.052631578947366
2019,Percentage unknown,Proportion of fish stocks exploited with respect to FMSY,22.807017543859647
1990,Percentage above FMSY,Proportion of fish stocks exploited with respect to FMSY,42.10526315789473
