Year,Category,Measure,Value
1990,percentage-unknown,percentage-of-fish-stocks-exploited-with-respect-to-fmsy,49.12
1991,percentage-unknown,percentage-of-fish-stocks-exploited-with-respect-to-fmsy,45.61
1992,percentage-unknown,percentage-of-fish-stocks-exploited-with-respect-to-fmsy,43.86
1993,percentage-unknown,percentage-of-fish-stocks-exploited-with-respect-to-fmsy,36.84
1994,percentage-unknown,percentage-of-fish-stocks-exploited-with-respect-to-fmsy,35.09
1995,percentage-unknown,percentage-of-fish-stocks-exploited-with-respect-to-fmsy,36.84
1996,percentage-unknown,percentage-of-fish-stocks-exploited-with-respect-to-fmsy,33.33
1997,percentage-unknown,percentage-of-fish-stocks-exploited-with-respect-to-fmsy,36.84
1998,percentage-unknown,percentage-of-fish-stocks-exploited-with-respect-to-fmsy,33.33
1999,percentage-unknown,percentage-of-fish-stocks-exploited-with-respect-to-fmsy,31.58
2000,percentage-unknown,percentage-of-fish-stocks-exploited-with-respect-to-fmsy,31.58
2001,percentage-unknown,percentage-of-fish-stocks-exploited-with-respect-to-fmsy,28.07
2002,percentage-unknown,percentage-of-fish-stocks-exploited-with-respect-to-fmsy,28.07
2003,percentage-unknown,percentage-of-fish-stocks-exploited-with-respect-to-fmsy,24.56
2004,percentage-unknown,percentage-of-fish-stocks-exploited-with-respect-to-fmsy,26.32
2005,percentage-unknown,percentage-of-fish-stocks-exploited-with-respect-to-fmsy,24.56
2006,percentage-unknown,percentage-of-fish-stocks-exploited-with-respect-to-fmsy,24.56
2007,percentage-unknown,percentage-of-fish-stocks-exploited-with-respect-to-fmsy,24.56
2008,percentage-unknown,percentage-of-fish-stocks-exploited-with-respect-to-fmsy,24.56
2009,percentage-unknown,percentage-of-fish-stocks-exploited-with-respect-to-fmsy,22.81
2010,percentage-unknown,percentage-of-fish-stocks-exploited-with-respect-to-fmsy,24.56
2011,percentage-unknown,percentage-of-fish-stocks-exploited-with-respect-to-fmsy,24.56
2012,percentage-unknown,percentage-of-fish-stocks-exploited-with-respect-to-fmsy,22.81
2013,percentage-unknown,percentage-of-fish-stocks-exploited-with-respect-to-fmsy,21.05
2014,percentage-unknown,percentage-of-fish-stocks-exploited-with-respect-to-fmsy,21.05
2015,percentage-unknown,percentage-of-fish-stocks-exploited-with-respect-to-fmsy,21.05
2016,percentage-unknown,percentage-of-fish-stocks-exploited-with-respect-to-fmsy,21.05
2017,percentage-unknown,percentage-of-fish-stocks-exploited-with-respect-to-fmsy,21.05
2018,percentage-unknown,percentage-of-fish-stocks-exploited-with-respect-to-fmsy,21.05
2019,percentage-unknown,percentage-of-fish-stocks-exploited-with-respect-to-fmsy,22.81
1990,percentage-above-fmsy,percentage-of-fish-stocks-exploited-with-respect-to-fmsy,42.11
1991,percentage-above-fmsy,percentage-of-fish-stocks-exploited-with-respect-to-fmsy,43.86
1992,percentage-above-fmsy,percentage-of-fish-stocks-exploited-with-respect-to-fmsy,42.11
1993,percentage-above-fmsy,percentage-of-fish-stocks-exploited-with-respect-to-fmsy,52.63
1994,percentage-above-fmsy,percentage-of-fish-stocks-exploited-with-respect-to-fmsy,52.63
1995,percentage-above-fmsy,percentage-of-fish-stocks-exploited-with-respect-to-fmsy,56.14
1996,percentage-above-fmsy,percentage-of-fish-stocks-exploited-with-respect-to-fmsy,59.65
1997,percentage-above-fmsy,percentage-of-fish-stocks-exploited-with-respect-to-fmsy,54.39
1998,percentage-above-fmsy,percentage-of-fish-stocks-exploited-with-respect-to-fmsy,59.65
1999,percentage-above-fmsy,percentage-of-fish-stocks-exploited-with-respect-to-fmsy,63.16
2000,percentage-above-fmsy,percentage-of-fish-stocks-exploited-with-respect-to-fmsy,59.65
2001,percentage-above-fmsy,percentage-of-fish-stocks-exploited-with-respect-to-fmsy,61.4
