Year,Category,Measure,Value
1990,Percentage unknown,Percentage of fish stocks exploited with respect to FMSY,49.12
1991,Percentage unknown,Percentage of fish stocks exploited with respect to FMSY,45.61
1992,Percentage unknown,Percentage of fish stocks exploited with respect to FMSY,43.86
1993,Percentage unknown,Percentage of fish stocks exploited with respect to FMSY,36.84
1994,Percentage unknown,Percentage of fish stocks exploited with respect to FMSY,35.09
1995,Percentage unknown,Percentage of fish stocks exploited with respect to FMSY,36.84
1996,Percentage unknown,Percentage of fish stocks exploited with respect to FMSY,33.33
1997,Percentage unknown,Percentage of fish stocks exploited with respect to FMSY,36.84
1998,Percentage unknown,Percentage of fish stocks exploited with respect to FMSY,33.33
1999,Percentage unknown,Percentage of fish stocks exploited with respect to FMSY,31.58
2000,Percentage unknown,Percentage of fish stocks exploited with respect to FMSY,31.58
2001,Percentage unknown,Percentage of fish stocks exploited with respect to FMSY,28.07
2002,Percentage unknown,Percentage of fish stocks exploited with respect to FMSY,28.07
2003,Percentage unknown,Percentage of fish stocks exploited with respect to FMSY,24.56
2004,Percentage unknown,Percentage of fish stocks exploited with respect to FMSY,26.32
2005,Percentage unknown,Percentage of fish stocks exploited with respect to FMSY,24.56
2006,Percentage unknown,Percentage of fish stocks exploited with respect to FMSY,24.56
2007,Percentage unknown,Percentage of fish stocks exploited with respect to FMSY,24.56
2008,Percentage unknown,Percentage of fish stocks exploited with respect to FMSY,24.56
2009,Percentage unknown,Percentage of fish stocks exploited with respect to FMSY,22.81
2010,Percentage unknown,Percentage of fish stocks exploited with respect to FMSY,24.56
2011,Percentage unknown,Percentage of fish stocks exploited with respect to FMSY,24.56
2012,Percentage unknown,Percentage of fish stocks exploited with respect to FMSY,22.81
2013,Percentage unknown,Percentage of fish stocks exploited with respect to FMSY,21.05
2014,Percentage unknown,Percentage of fish stocks exploited with respect to FMSY,21.05
2015,Percentage unknown,Percentage of fish stocks exploited with respect to FMSY,21.05
2016,Percentage unknown,Percentage of fish stocks exploited with respect to FMSY,21.05
2017,Percentage unknown,Percentage of fish stocks exploited with respect to FMSY,21.05
2018,Percentage unknown,Percentage of fish stocks exploited with respect to FMSY,21.05
2019,Percentage unknown,Percentage of fish stocks exploited with respect to FMSY,22.81
1990,Percentage above FMSY,Percentage of fish stocks exploited with respect to FMSY,42.11
1991,Percentage above FMSY,Percentage of fish stocks exploited with respect to FMSY,43.86
1992,Percentage above FMSY,Percentage of fish stocks exploited with respect to FMSY,42.11
1993,Percentage above FMSY,Percentage of fish stocks exploited with respect to FMSY,52.63
1994,Percentage above FMSY,Percentage of fish stocks exploited with respect to FMSY,52.63
1995,Percentage above FMSY,Percentage of fish stocks exploited with respect to FMSY,56.14
1996,Percentage above FMSY,Percentage of fish stocks exploited with respect to FMSY,59.65
1997,Percentage above FMSY,Percentage of fish stocks exploited with respect to FMSY,54.39
1998,Percentage above FMSY,Percentage of fish stocks exploited with respect to FMSY,59.65
1999,Percentage above FMSY,Percentage of fish stocks exploited with respect to FMSY,63.16
2000,Percentage above FMSY,Percentage of fish stocks exploited with respect to FMSY,59.65
2001,Percentage above FMSY,Percentage of fish stocks exploited with respect to FMSY,61.4
2002,Percentage above FMSY,Percentage of fish stocks exploited with respect to FMSY,54.39
2003,Percentage above FMSY,Percentage of fish stocks exploited with respect to FMSY,50.88
2004,Percentage above FMSY,Percentage of fish stocks exploited with respect to FMSY,52.63
2005,Percentage above FMSY,Percentage of fish stocks exploited with respect to FMSY,56.14
2006,Percentage above FMSY,Percentage of fish stocks exploited with respect to FMSY,56.14
2007,Percentage above FMSY,Percentage of fish stocks exploited with respect to FMSY,56.14
2008,Percentage above FMSY,Percentage of fish stocks exploited with respect to FMSY,54.39
2009,Percentage above FMSY,Percentage of fish stocks exploited with respect to FMSY,54.39
